"","activity","subject","variable","mean"
"1",1,1,"body_acc_x_mean",-5.04911990559208e-05
"2",1,1,"body_acc_x_sd",0.234133338780874
"3",1,1,"body_acc_y_mean",-0.000128854135947368
"4",1,1,"body_acc_y_sd",0.192116753389082
"5",1,1,"body_acc_z_mean",-0.000938320109560033
"6",1,1,"body_acc_z_sd",0.136100278562349
"7",1,1,"body_gyro_x_mean",-0.014599858215148
"8",1,1,"body_gyro_x_sd",0.460148204398441
"9",1,1,"body_gyro_y_mean",0.00217139307711349
"10",1,1,"body_gyro_y_sd",0.725724933538022
"11",1,1,"body_gyro_z_mean",-0.00061430490753125
"12",1,1,"body_gyro_z_sd",0.319697711403702
"13",1,1,"total_acc_x_mean",0.997061180921053
"14",1,1,"total_acc_x_sd",0.233861527742345
"15",1,1,"total_acc_y_mean",-0.263882523646155
"16",1,1,"total_acc_y_sd",0.191816890451813
"17",1,1,"total_acc_z_mean",-0.0733891163883255
"18",1,1,"total_acc_z_sd",0.134023290420627
"19",1,1,"x_mean",-0.319105810200331
"20",1,1,"x_sd",0.452722654264638
"21",1,2,"body_acc_x_mean",-0.000236823526445975
"22",1,2,"body_acc_x_sd",0.188678607759782
"23",1,2,"body_acc_y_mean",-0.0007640919728125
"24",1,2,"body_acc_y_sd",0.159223036474717
"25",1,2,"body_acc_z_mean",0.000927358610169756
"26",1,2,"body_acc_z_sd",0.106385882218855
"27",1,2,"body_gyro_x_mean",-0.0261456554122987
"28",1,2,"body_gyro_x_sd",0.383504266451495
"29",1,2,"body_gyro_y_mean",0.0117845148574828
"30",1,2,"body_gyro_y_sd",0.355332679945745
"31",1,2,"body_gyro_z_mean",-0.00154868120596663
"32",1,2,"body_gyro_z_sd",0.25345015970436
"33",1,2,"total_acc_x_mean",0.981170597153072
"34",1,2,"total_acc_x_sd",0.188328319595238
"35",1,2,"total_acc_y_mean",-0.328878587927701
"36",1,2,"total_acc_y_sd",0.158733275151833
"37",1,2,"total_acc_z_mean",0.0786663049567929
"38",1,2,"total_acc_z_sd",0.105553809812103
"39",1,2,"x_mean",-0.385708093716054
"40",1,2,"x_sd",0.471751410540144
"41",1,3,"body_acc_x_mean",-0.000413872830590652
"42",1,3,"body_acc_x_sd",0.209240438011909
"43",1,3,"body_acc_y_mean",-2.02621447764008e-05
"44",1,3,"body_acc_y_sd",0.160619943966853
"45",1,3,"body_acc_z_mean",-0.00144266983757813
"46",1,3,"body_acc_z_sd",0.113191908681054
"47",1,3,"body_gyro_x_mean",0.00209813659221444
"48",1,3,"body_gyro_x_sd",0.374518140311476
"49",1,3,"body_gyro_y_mean",-0.00161440306505657
"50",1,3,"body_gyro_y_sd",0.33593479222256
"51",1,3,"body_gyro_z_mean",-0.00220595817404903
"52",1,3,"body_gyro_z_sd",0.255575367320821
"53",1,3,"total_acc_x_mean",0.997605530253233
"54",1,3,"total_acc_x_sd",0.208855638345089
"55",1,3,"total_acc_y_mean",-0.243620709883459
"56",1,3,"total_acc_y_sd",0.160044261487548
"57",1,3,"total_acc_z_mean",-0.142689099779429
"58",1,3,"total_acc_z_sd",0.111990607320487
"59",1,3,"x_mean",-0.386865862874514
"60",1,3,"x_sd",0.47042947054323
"61",1,4,"body_acc_x_mean",0.000207368155971354
"62",1,4,"body_acc_x_sd",0.183094461715684
"63",1,4,"body_acc_y_mean",0.00120543976572526
"64",1,4,"body_acc_y_sd",0.159097393646937
"65",1,4,"body_acc_z_mean",-0.00102254446784505
"66",1,4,"body_acc_z_sd",0.0774329765857893
"67",1,4,"body_gyro_x_mean",-0.00425263819567708
"68",1,4,"body_gyro_x_sd",0.436304469595107
"69",1,4,"body_gyro_y_mean",0.000744455540416667
